symbol,entry_ms,time_ms,exchange_time_ms,qty,side,rate,mark,cashflow,price_source
XRPUSDT,1610726400000,1610755200000,1610755200000,65393.23443191487,SHORT,0.00031084,0.2801,5.693545920727679,mark_candle_open
XRPUSDT,1610726400000,1610784000000,1610784000008,65393.23443191487,SHORT,0.00081748,0.2817,15.059023183534276,mark_candle_open
XRPUSDT,1611633600000,1611648000000,1611648000000,221218.83558001718,SHORT,0.00044386,0.2663,26.148048225613515,mark_candle_open
XRPUSDT,1611633600000,1611676800000,1611676800000,221218.83558001718,SHORT,0.00030387,0.2629,17.67260269354828,mark_candle_open
XRPUSDT,1611633600000,1611705600000,1611705600000,221218.83558001718,SHORT,0.00028331,0.2686,16.834104331575716,mark_candle_open
XRPUSDT,1611633600000,1611734400000,1611734400011,221218.83558001718,SHORT,0.00027841,0.2638,16.247319600449035,mark_candle_open
XRPUSDT,1611633600000,1611763200000,1611763200003,110609.41779000859,SHORT,0.0001,0.2526,2.793993893375617,mark_candle_open
XRPUSDT,1611633600000,1611792000000,1611792000000,110609.41779000859,SHORT,0.00012191,0.2506,3.3791891671686547,mark_candle_open
ETHUSDT,1612281600000,1612310400000,1612310400009,27.346979588585477,LONG,0.00151935,1514.9524235,-62.945717872309515,mark_candle_open
ETHUSDT,1612281600000,1612339200000,1612339200006,27.346979588585477,LONG,0.00155522,1549.17321483,-65.88721922921442,mark_candle_open
ETHUSDT,1612281600000,1612368000000,1612368000006,27.346979588585477,LONG,0.00167923,1601.69,-73.552597613088,mark_candle_open
ETHUSDT,1612281600000,1612396800000,1612396800005,27.346979588585477,LONG,0.00146092,1666.0,-66.5596145346468,mark_candle_open
BTCUSDT,1612368000000,1612396800000,1612396800005,1.2891990673983562,LONG,0.00029063,37651.13,-14.107122562983308,mark_candle_open
ETHUSDT,1612281600000,1612425600000,1612425600000,27.346979588585477,LONG,0.00135459,1664.47,-61.658535268808954,mark_candle_open
BTCUSDT,1612368000000,1612425600000,1612425600000,1.2891990673983562,LONG,0.00074286,37882.69797631,-36.28004843643697,mark_candle_open
ETHUSDT,1612281600000,1612454400000,1612454400011,27.346979588585477,LONG,0.00145079,1581.85841093,-62.759796679059534,mark_candle_open
BTCUSDT,1612368000000,1612454400000,1612454400011,1.2891990673983562,LONG,0.00061936,36605.82,-29.228954182354876,mark_candle_open
ETHUSDT,1612281600000,1612483200000,1612483200009,27.346979588585477,LONG,0.00113736,1596.0,-49.640963684978225,mark_candle_open
BTCUSDT,1612368000000,1612483200000,1612483200009,1.2891990673983562,LONG,0.00056635,36982.6,-27.002397598061496,mark_candle_open
ETHUSDT,1612281600000,1612512000000,1612512000004,27.346979588585477,LONG,0.0017643,1666.51,-80.40623458364844,mark_candle_open
BTCUSDT,1612368000000,1612512000000,1612512000004,1.2891990673983562,LONG,0.00074838,37701.0718172,-36.374401187654335,mark_candle_open
ETHUSDT,1612281600000,1612540800000,1612540800000,27.346979588585477,LONG,0.00155465,1744.23401211,-74.15607731013756,mark_candle_open
BTCUSDT,1612368000000,1612540800000,1612540800000,1.2891990673983562,LONG,0.00099154,38005.09,-48.58161935348664,mark_candle_open
ETHUSDT,1612281600000,1612569600000,1612569600008,27.346979588585477,LONG,0.00117123,1721.55,-55.14056287858751,mark_candle_open
BTCUSDT,1612368000000,1612569600000,1612569600008,1.2891990673983562,LONG,0.00034782,38341.18068773,-17.19253891159013,mark_candle_open
ETHUSDT,1612281600000,1612598400000,1612598400009,27.346979588585477,LONG,0.00107002,1674.99,-49.013247673307546,mark_candle_open
BTCUSDT,1612368000000,1612598400000,1612598400009,1.2891990673983562,LONG,0.00069827,39398.38668326,-35.466783569712554,mark_candle_open
ETHUSDT,1612281600000,1612627200000,1612627200000,27.346979588585477,LONG,0.00143968,1677.12223118,-66.02981093726947,mark_candle_open
BTCUSDT,1612368000000,1612627200000,1612627200000,1.2891990673983562,LONG,0.00102371,40886.91,-53.961152734369904,mark_candle_open
ETHUSDT,1612281600000,1612656000000,1612656000000,27.346979588585477,LONG,0.00171115,1679.06532979,-78.57149963595035,mark_candle_open
BTCUSDT,1612368000000,1612656000000,1612656000000,1.2891990673983562,LONG,0.00155546,39249.54,-78.70700763209886,mark_candle_open
BTCUSDT,1612368000000,1612684800000,1612684800005,1.2891990673983562,LONG,0.00065121,39056.89,-32.78979505471993,mark_candle_open
BTCUSDT,1612368000000,1612713600000,1612713600001,1.2891990673983562,LONG,0.00106206,37965.8,-51.98303006655772,mark_candle_open
ETHUSDT,1613664000000,1613692800000,1613692800010,27.116433996918957,LONG,0.00082051,1940.0509857,-43.16478659849836,mark_candle_open
ETHUSDT,1613664000000,1613721600000,1613721600002,27.116433996918957,LONG,0.00139773,1922.01,-72.84697223889991,mark_candle_open
ETHUSDT,1613664000000,1613750400000,1613750400008,27.116433996918957,LONG,0.00169023,1933.39,-88.61308365749714,mark_candle_open
ETHUSDT,1613664000000,1613779200000,1613779200000,27.116433996918957,LONG,0.00196264,1958.58,-104.23523200544952,mark_candle_open
ETHUSDT,1613664000000,1613808000000,1613808000009,27.116433996918957,LONG,0.00189841,1988.2,-102.34877723650555,mark_candle_open
ETHUSDT,1613664000000,1613836800000,1613836800000,27.116433996918957,LONG,0.0018588,1979.75,-99.7873734697981,mark_candle_open
BTCUSDT,1615291200000,1615305600000,1615305600000,1.0271449279226756,LONG,0.00057038,54127.88,-31.711518046100583,mark_candle_open
BTCUSDT,1615291200000,1615334400000,1615334400009,1.0271449279226756,LONG,0.00024344,54925.01882859,-13.733899964902584,mark_candle_open
BTCUSDT,1615291200000,1615363200000,1615363200006,1.0271449279226756,LONG,0.00048586,54196.11139209,-27.046495395215416,mark_candle_open
BTCUSDT,1615291200000,1615392000000,1615392000008,1.0271449279226756,LONG,0.00056915,56376.23,-32.95751788404933,mark_candle_open
BTCUSDT,1615291200000,1615420800000,1615420800000,1.0271449279226756,LONG,0.00095931,55956.41594658,-55.13667688060198,mark_candle_open
BTCUSDT,1615291200000,1615449600000,1615449600000,1.0271449279226756,LONG,0.00099305,55080.92,-56.18288379447163,mark_candle_open
BTCUSDT,1615291200000,1615478400000,1615478400014,1.0271449279226756,LONG,0.00085439,56415.23765561,-49.50901711788143,mark_candle_open
BTCUSDT,1615291200000,1615507200000,1615507200002,1.0271449279226756,LONG,0.00102002,57860.0,-60.620406252308726,mark_candle_open
BTCUSDT,1615291200000,1615536000000,1615536000005,1.0271449279226756,LONG,0.00067147,56740.41518494,-39.13369440145158,mark_candle_open
BTCUSDT,1615291200000,1615564800000,1615564800011,1.0271449279226756,LONG,0.00051199,57011.21073842,-29.981507695926382,mark_candle_open
BTCUSDT,1615291200000,1615593600000,1615593600000,1.0271449279226756,LONG,0.00047834,57305.36675083,-28.15553094252518,mark_candle_open
BTCUSDT,1615291200000,1615622400000,1615622400002,1.0271449279226756,LONG,0.00060567,57377.26,-35.695017050459235,mark_candle_open
BTCUSDT,1615291200000,1615651200000,1615651200000,1.0271449279226756,LONG,0.00057114,59734.70729864,-35.042980994813846,mark_candle_open
BTCUSDT,1615291200000,1615680000000,1615680000011,1.0271449279226756,LONG,0.00081828,61247.19,-51.47778250381368,mark_candle_open
BTCUSDT,1615291200000,1615708800000,1615708800000,1.0271449279226756,LONG,0.00084593,60594.25914236,-52.64990996863822,mark_candle_open
BTCUSDT,1615291200000,1615737600000,1615737600000,1.0271449279226756,LONG,0.00115069,59750.76,-70.6209407407046,mark_candle_open
BTCUSDT,1615291200000,1615766400000,1615766400012,1.0271449279226756,LONG,0.0008201,59047.95,-49.73972300455471,mark_candle_open
BTCUSDT,1615291200000,1615795200000,1615795200016,1.0271449279226756,LONG,0.0010521,57826.33,-62.490554283152754,mark_candle_open
LTCUSDT,1616328000000,1616342400000,1616342400000,222.46684649531545,SHORT,0.00046956,195.61,20.43372036065497,mark_candle_open
BCHUSDT,1616328000000,1616342400000,1616342400000,76.73941580008375,SHORT,0.00028711,522.92,11.521315257305718,mark_candle_open
LTCUSDT,1616328000000,1616371200000,1616371200007,222.46684649531545,SHORT,0.00058748,195.52,25.553451788867363,mark_candle_open
BCHUSDT,1616328000000,1616371200000,1616371200007,76.73941580008375,SHORT,0.00057406,524.15,23.090395168273872,mark_candle_open
LTCUSDT,1616328000000,1616400000000,1616400000001,222.46684649531545,SHORT,0.00071256,195.13,30.932198073944914,mark_candle_open
BCHUSDT,1616328000000,1616400000000,1616400000001,76.73941580008375,SHORT,0.00067843,522.36320525,27.195441320200125,mark_candle_open
LTCUSDT,1616328000000,1616428800000,1616428800000,222.46684649531545,SHORT,0.00058339,196.67521053,25.52547913485928,mark_candle_open
LTCUSDT,1616328000000,1616457600000,1616457600000,111.23342324765773,SHORT,0.00024012,185.67,4.959128651817553,mark_candle_open
LTCUSDT,1616328000000,1616486400000,1616486400010,111.23342324765773,SHORT,0.00020663,185.65,4.267009720907431,mark_candle_open
ETHUSDT,1616457600000,1616486400000,1616486400010,26.67037375968476,SHORT,0.00019899,1680.15,8.916787363709814,mark_candle_open
LINKUSDT,1616457600000,1616486400000,1616486400010,1297.7383328860883,SHORT,0.00031486,27.249,11.134101937279505,mark_candle_open
LTCUSDT,1616328000000,1616515200000,1616515200023,111.23342324765773,SHORT,0.00022303,186.43,4.625028219834447,mark_candle_open
