symbol,side,entry_ms,exit_ms,entry_price,initial_qty,initial_risk,signal_ms,entry_equity,requested_risk_pct,gross_pnl,fees,funding_pnl,net_pnl,r_multiple,bars,partial_taken,reason,fills,mfe_r,mae_r
XRPUSDT,SHORT,1610726400000,1610791500000,0.2739452,65393.23443191487,1000.0,1610712000000,100000.0,1.0,-1003.7828325370192,0.0,20.752569104261955,-983.0302634327572,-0.9830302634327572,5,False,STOP,"[{""time_ms"": 1610726400000, ""role"": ""ENTRY"", ""qty"": 65393.23443191487, ""price"": 0.2739452, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1610791500000, ""role"": ""STOP"", ""qty"": 65393.23443191487, ""price"": 0.2892951492914993, ""fee"": 0.0, ""gross_pnl"": -1003.7828325370192}]",0.8138318811520663,-1.0302573298279332
XRPUSDT,SHORT,1611633600000,1611814200000,0.26404718,221272.65836152143,1980.339394731345,1611619200000,99016.96973656725,2.0,2330.8284283503017,0.0,83.09547021166118,2413.9238985619627,1.2189445430334622,13,True,STOP,"[{""time_ms"": 1611633600000, ""role"": ""ENTRY"", ""qty"": 221272.65836152143, ""price"": 0.26404718, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1611758100000, ""role"": ""TP2R"", ""qty"": 110636.32918076072, ""price"": 0.24619686957223344, ""fee"": 0.0, ""gross_pnl"": 1974.8928204651459}, {""time_ms"": 1611814200000, ""role"": ""STOP"", ""qty"": 110636.32918076072, ""price"": 0.2608300124518647, ""fee"": 0.0, ""gross_pnl"": 355.9356078851557}]",2.2399659487931878,-0.8103917774333446
ETHUSDT,LONG,1612281600000,1612670400000,1428.68568,27.375992272944426,2028.6178727025842,1612267200000,101430.8936351292,2.0,5453.535174879489,0.0,-847.2197492520298,4606.315425627459,2.2706668848829525,27,False,BB_MID,"[{""time_ms"": 1612281600000, ""role"": ""ENTRY"", ""qty"": 27.375992272944426, ""price"": 1428.68568, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1612670400000, ""role"": ""BB_MID"", ""qty"": 27.375992272944426, ""price"": 1627.894356, ""fee"": 0.0, ""gross_pnl"": 5453.535174879489}]",4.568081437798181,-0.05945420439207107
BTCUSDT,LONG,1612368000000,1612713600000,36898.47822,1.2909480286002097,2119.283691103169,1612353600000,105964.18455515844,2.0000000000000004,1368.0416659418406,0.0,-462.30117147842657,905.740494463414,0.42738048627738984,24,False,BB_MID,"[{""time_ms"": 1612368000000, ""role"": ""ENTRY"", ""qty"": 1.2909480286002097, ""price"": 36898.47822, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1612713600000, ""role"": ""BB_MID"", ""qty"": 1.2909480286002097, ""price"": 37958.196842000005, ""fee"": 0.0, ""gross_pnl"": 1368.0416659418406}]",2.4937861190180723,-0.4053717771678692
ETHUSDT,LONG,1613664000000,1613860800000,1911.402204,27.18192856352076,2138.858991104402,1613649600000,106942.94955522008,2.0000000000000004,-2148.8223389392374,0.0,-512.2304389793323,-2661.0527779185695,-1.2441459623967694,14,False,STOP,"[{""time_ms"": 1613664000000, ""role"": ""ENTRY"", ""qty"": 27.18192856352076, ""price"": 1911.402204, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1613860800000, ""role"": ""STOP"", ""qty"": 27.18192856352076, ""price"": 1832.3488603817314, ""fee"": 0.0, ""gross_pnl"": -2148.8223389392374}]",1.7359683589469241,-1.5174362559446113
BTCUSDT,LONG,1615291200000,1615795200000,54310.86,1.0302763021092491,2085.63793554603,1615276800000,104281.8967773015,1.9999999999999998,3616.201335877112,0.0,-784.2697301004265,2831.9316057766855,1.3578251323067119,35,False,BB_MID,"[{""time_ms"": 1615291200000, ""role"": ""ENTRY"", ""qty"": 1.0302763021092491, ""price"": 54310.86, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1615795200000, ""role"": ""BB_MID"", ""qty"": 1.0302763021092491, ""price"": 57820.793528, ""fee"": 0.0, ""gross_pnl"": 3616.201335877112}]",3.7736295338501957,-0.6174135582248798
BCHUSDT,SHORT,1616328000000,1616419500000,520.875804,77.06484039853082,1071.0513831061717,1616313600000,107105.13831061716,1.0000000000000002,-1079.293835523339,0.0,62.069253917503644,-1017.2245816058355,-0.9497439596742481,7,False,STOP,"[{""time_ms"": 1616328000000, ""role"": ""ENTRY"", ""qty"": 77.06484039853082, ""price"": 520.875804, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1616419500000, ""role"": ""STOP"", ""qty"": 77.06484039853082, ""price"": 534.8808136768113, ""fee"": 0.0, ""gross_pnl"": -1079.293835523339}]",0.5213538188986072,-1.3026424290097913
ETHUSDT,SHORT,1616457600000,1616517000000,1681.3236680000002,26.798905110909793,1082.5089441311545,1616443200000,108250.89441311544,1.0000000000000002,-1091.7369726078703,0.0,24.078861026619023,-1067.6581115812512,-0.9862810994491847,5,False,STOP,"[{""time_ms"": 1616457600000, ""role"": ""ENTRY"", ""qty"": 26.798905110909793, ""price"": 1681.3236680000002, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1616517000000, ""role"": ""STOP"", ""qty"": 26.798905110909793, ""price"": 1722.0617865197537, ""fee"": 0.0, ""gross_pnl"": -1091.7369726078703}]",0.7115865743629131,-1.019868332886282
LTCUSDT,SHORT,1616328000000,1616551800000,194.51109000000002,223.33776563938733,1071.1382838307818,1616313600000,107113.82838307819,1.0,1459.6719161098042,0.0,123.19393072315522,1582.8658468329595,1.4777418291614535,16,True,STOP,"[{""time_ms"": 1616328000000, ""role"": ""ENTRY"", ""qty"": 223.33776563938733, ""price"": 194.51109000000002, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1616450400000, ""role"": ""TP2R"", ""qty"": 111.66888281969366, ""price"": 184.9559810267409, ""fee"": 0.0, ""gross_pnl"": 1067.008344264278}, {""time_ms"": 1616551800000, ""role"": ""STOP"", ""qty"": 111.66888281969366, ""price"": 190.99476958977849, ""fee"": 0.0, ""gross_pnl"": 392.6635718455262}]",2.760834431810134,-0.9839166721631716
LINKUSDT,SHORT,1616457600000,1616587800000,27.277543400000003,1304.426809818996,1082.4188108376168,1616443200000,108241.88108376168,1.0,-764.8973598153868,0.0,72.74758374403983,-692.149776071347,-0.6394472907725386,10,False,STOP,"[{""time_ms"": 1616457600000, ""role"": ""ENTRY"", ""qty"": 1304.426809818996, ""price"": 27.277543400000003, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1616587800000, ""role"": ""STOP"", ""qty"": 1304.426809818996, ""price"": 27.86392920107191, ""fee"": 0.0, ""gross_pnl"": -764.8973598153868}]",1.1659900382244621,-0.8236360117373062
