symbol,side,entry_ms,exit_ms,entry_price,initial_qty,initial_risk,signal_ms,entry_equity,requested_risk_pct,gross_pnl,fees,funding_pnl,net_pnl,r_multiple,bars,partial_taken,reason,fills,mfe_r,mae_r
XRPUSDT,SHORT,1610726400000,1610791500000,0.273863,65393.23443191487,1000.0,1610712000000,100000.0,1.0,-1009.4543936806124,0.0,20.752569104261955,-988.7018245763504,-0.9887018245763504,5,False,STOP,"[{""time_ms"": 1610726400000, ""role"": ""ENTRY"", ""qty"": 65393.23443191487, ""price"": 0.273863, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1610791500000, ""role"": ""STOP"", ""qty"": 65393.23443191487, ""price"": 0.28929967938204865, ""fee"": 0.0, ""gross_pnl"": -1009.4543936806124}]",0.8084565572817644,-1.0356326536982352
XRPUSDT,SHORT,1611633600000,1611814200000,0.26396795,221259.98415613378,1980.2259635084731,1611619200000,99011.29817542365,2.0,2305.109740800977,0.0,83.09071061296497,2388.2004514139417,1.2060242090668472,13,True,STOP,"[{""time_ms"": 1611633600000, ""role"": ""ENTRY"", ""qty"": 221259.98415613378, ""price"": 0.26396795, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1611758100000, ""role"": ""TP2R"", ""qty"": 110629.99207806689, ""price"": 0.24619144424924672, ""fee"": 0.0, ""gross_pnl"": 1966.614690381547}, {""time_ms"": 1611814200000, ""role"": ""STOP"", ""qty"": 110629.99207806689, ""price"": 0.26090824580892885, ""fee"": 0.0, ""gross_pnl"": 338.49505041942996}]",2.231113207304218,-0.8192445189223146
ETHUSDT,LONG,1612281600000,1612670400000,1429.1142,27.367518823942866,2027.9899725367522,1612267200000,101399.4986268376,2.0,5426.75155870645,0.0,-846.9575168088429,4579.794041897607,2.2582922518935726,27,False,BB_MID,"[{""time_ms"": 1612281600000, ""role"": ""ENTRY"", ""qty"": 27.367518823942866, ""price"": 1429.1142, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1612670400000, ""role"": ""BB_MID"", ""qty"": 27.367518823942866, ""price"": 1627.4058900000002, ""fee"": 0.0, ""gross_pnl"": 5426.75155870645}]",4.562298603896017,-0.06523703829423509
BTCUSDT,LONG,1612368000000,1612713600000,36909.545549999995,1.2904055778842376,2118.3931773643367,1612353600000,105919.65886821682,2.0000000000000004,1338.488096296884,0.0,-462.10691454793243,876.3811817489515,0.41370090836457835,24,False,BB_MID,"[{""time_ms"": 1612368000000, ""role"": ""ENTRY"", ""qty"": 1.2904055778842376, ""price"": 36909.545549999995, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1612713600000, ""role"": ""BB_MID"", ""qty"": 1.2904055778842376, ""price"": 37946.807105, ""fee"": 0.0, ""gross_pnl"": 1338.488096296884}]",2.487044526136787,-0.4121133700491546
ETHUSDT,LONG,1613664000000,1613860800000,1911.97551,27.15974550253984,2137.1134770096833,1613649600000,106855.67385048416,2.0,-2162.0093044005175,0.0,-511.8124098083113,-2673.821714208829,-1.2511369859265147,14,False,STOP,"[{""time_ms"": 1613664000000, ""role"": ""ENTRY"", ""qty"": 27.15974550253984, ""price"": 1911.97551, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1613860800000, ""role"": ""STOP"", ""qty"": 27.15974550253984, ""price"": 1832.3720651076928, ""fee"": 0.0, ""gross_pnl"": -2162.0093044005175}]",1.7286824355635453,-1.5247221793279904
BTCUSDT,LONG,1615291200000,1615795200000,54327.149999999994,1.029287888722193,2083.6370427255065,1615276800000,104181.85213627532,2.0,3578.107126565814,0.0,-783.5173273724331,2794.5897991933807,1.3412075816899045,35,False,BB_MID,"[{""time_ms"": 1615291200000, ""role"": ""ENTRY"", ""qty"": 1.029287888722193, ""price"": 54327.149999999994, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1615795200000, ""role"": ""BB_MID"", ""qty"": 1.029287888722193, ""price"": 57803.44382, ""fee"": 0.0, ""gross_pnl"": 3578.107126565814}]",3.765582499091519,-0.6254605929835562
BCHUSDT,SHORT,1616328000000,1616419500000,520.71951,76.95662835579914,1069.5474461949013,1616313600000,106954.74461949013,1.0,-1090.118628822337,0.0,61.982098209109125,-1028.136530613228,-0.9612818339859537,7,False,STOP,"[{""time_ms"": 1616328000000, ""role"": ""ENTRY"", ""qty"": 76.95662835579914, ""price"": 520.71951, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1616419500000, ""role"": ""STOP"", ""qty"": 76.95662835579914, ""price"": 534.8848736874827, ""fee"": 0.0, ""gross_pnl"": -1090.118628822337}]",0.5101080725644612,-1.3138881753439373
ETHUSDT,SHORT,1616457600000,1616517000000,1680.8191700000002,26.75836558749732,1080.8713997425612,1616443200000,108087.1399742561,1.0000000000000002,-1103.8998223610931,0.0,24.042436197086083,-1079.857386164007,-0.999061855481794,5,False,STOP,"[{""time_ms"": 1616457600000, ""role"": ""ENTRY"", ""qty"": 26.75836558749732, ""price"": 1680.8191700000002, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1616517000000, ""role"": ""STOP"", ""qty"": 26.75836558749732, ""price"": 1722.0735515036629, ""fee"": 0.0, ""gross_pnl"": -1103.8998223610931}]",0.6990970756812227,-1.0323578315679727
LTCUSDT,SHORT,1616328000000,1616551800000,194.45272500000002,223.05130792705077,1069.7644193546873,1616313600000,106976.44193546873,1.0,1438.7178392245257,0.0,123.03591959831176,1561.7537588228374,1.4599043776058025,16,True,STOP,"[{""time_ms"": 1616328000000, ""role"": ""ENTRY"", ""qty"": 223.05130792705077, ""price"": 194.45272500000002, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1616450400000, ""role"": ""TP2R"", ""qty"": 111.52565396352539, ""price"": 184.95306254340906, ""fee"": 0.0, ""gross_pnl"": 1059.4560679040562}, {""time_ms"": 1616551800000, ""role"": ""STOP"", ""qty"": 111.52565396352539, ""price"": 191.05205656326072, ""fee"": 0.0, ""gross_pnl"": 379.26177132046945}]",2.7486650332475815,-0.9960860707257236
LINKUSDT,SHORT,1616457600000,1616587800000,27.269358500000003,1302.2908800213556,1080.6464073771917,1616443200000,108064.64073771916,1.0000000000000002,-785.1879070167868,0.0,72.62846342954185,-712.5594435872449,-0.6593826053766089,10,False,STOP,"[{""time_ms"": 1616457600000, ""role"": ""ENTRY"", ""qty"": 1302.2908800213556, ""price"": 27.269358500000003, ""fee"": 0.0, ""gross_pnl"": 0.0}, {""time_ms"": 1616587800000, ""role"": ""STOP"", ""qty"": 1302.2908800213556, ""price"": 27.87228670833078, ""fee"": 0.0, ""gross_pnl"": -785.1879070167868}]",1.1561263857372837,-0.8334996642244846
