symbol,entry_ms,time_ms,exchange_time_ms,qty,side,rate,mark,cashflow,price_source
XRPUSDT,1610726400000,1610755200000,1610755200000,65393.23443191487,SHORT,0.00031084,0.2801,5.693545920727679,mark_candle_open
XRPUSDT,1610726400000,1610784000000,1610784000008,65393.23443191487,SHORT,0.00081748,0.2817,15.059023183534276,mark_candle_open
XRPUSDT,1611633600000,1611648000000,1611648000000,221259.98415613378,SHORT,0.00044386,0.2663,26.152911983936313,mark_candle_open
XRPUSDT,1611633600000,1611676800000,1611676800000,221259.98415613378,SHORT,0.00030387,0.2629,17.67588994725436,mark_candle_open
XRPUSDT,1611633600000,1611705600000,1611705600000,221259.98415613378,SHORT,0.00028331,0.2686,16.837235617488265,mark_candle_open
XRPUSDT,1611633600000,1611734400000,1611734400011,221259.98415613378,SHORT,0.00027841,0.2638,16.250341739434248,mark_candle_open
XRPUSDT,1611633600000,1611763200000,1611763200003,110629.99207806689,SHORT,0.0001,0.2526,2.7945135998919697,mark_candle_open
XRPUSDT,1611633600000,1611792000000,1611792000000,110629.99207806689,SHORT,0.00012191,0.2506,3.379817724959826,mark_candle_open
ETHUSDT,1612281600000,1612310400000,1612310400009,27.367518823942866,LONG,0.00151935,1514.9524235,-62.99299391279256,mark_candle_open
ETHUSDT,1612281600000,1612339200000,1612339200006,27.367518823942866,LONG,0.00155522,1549.17321483,-65.93670451509067,mark_candle_open
ETHUSDT,1612281600000,1612368000000,1612368000006,27.367518823942866,LONG,0.00167923,1601.69,-73.60784006166003,mark_candle_open
ETHUSDT,1612281600000,1612396800000,1612396800005,27.367518823942866,LONG,0.00146092,1666.0,-66.6096048300575,mark_candle_open
BTCUSDT,1612368000000,1612396800000,1612396800005,1.2904055778842376,LONG,0.00029063,37651.13,-14.120324861781276,mark_candle_open
ETHUSDT,1612281600000,1612425600000,1612425600000,27.367518823942866,LONG,0.00135459,1664.47,-61.704844557320165,mark_candle_open
BTCUSDT,1612368000000,1612425600000,1612425600000,1.2904055778842376,LONG,0.00074286,37882.69797631,-36.31400150076487,mark_candle_open
ETHUSDT,1612281600000,1612454400000,1612454400011,27.367518823942866,LONG,0.00145079,1581.85841093,-62.806933081483706,mark_candle_open
BTCUSDT,1612368000000,1612454400000,1612454400011,1.2904055778842376,LONG,0.00061936,36605.82,-29.256308406077302,mark_candle_open
ETHUSDT,1612281600000,1612483200000,1612483200009,27.367518823942866,LONG,0.00113736,1596.0,-49.67824705052106,mark_candle_open
BTCUSDT,1612368000000,1612483200000,1612483200009,1.2904055778842376,LONG,0.00056635,36982.6,-27.0276680754221,mark_candle_open
ETHUSDT,1612281600000,1612512000000,1612512000004,27.367518823942866,LONG,0.0017643,1666.51,-80.46662452802842,mark_candle_open
BTCUSDT,1612368000000,1612512000000,1612512000004,1.2904055778842376,LONG,0.00074838,37701.0718172,-36.40844255299532,mark_candle_open
ETHUSDT,1612281600000,1612540800000,1612540800000,27.367518823942866,LONG,0.00155465,1744.23401211,-74.2117730084548,mark_candle_open
BTCUSDT,1612368000000,1612540800000,1612540800000,1.2904055778842376,LONG,0.00099154,38005.09,-48.62708497214348,mark_candle_open
ETHUSDT,1612281600000,1612569600000,1612569600008,27.367518823942866,LONG,0.00117123,1721.55,-55.18197677568842,mark_candle_open
BTCUSDT,1612368000000,1612569600000,1612569600008,1.2904055778842376,LONG,0.00034782,38341.18068773,-17.20862872967976,mark_candle_open
ETHUSDT,1612281600000,1612598400000,1612598400009,27.367518823942866,LONG,0.00107002,1674.99,-49.050059586167286,mark_candle_open
BTCUSDT,1612368000000,1612598400000,1612598400009,1.2904055778842376,LONG,0.00069827,39398.38668326,-35.49997553157435,mark_candle_open
ETHUSDT,1612281600000,1612627200000,1612627200000,27.367518823942866,LONG,0.00143968,1677.12223118,-66.07940331814106,mark_candle_open
BTCUSDT,1612368000000,1612627200000,1612627200000,1.2904055778842376,LONG,0.00102371,40886.91,-54.011652845834966,mark_candle_open
ETHUSDT,1612281600000,1612656000000,1612656000000,27.367518823942866,LONG,0.00171115,1679.06532979,-78.63051158343721,mark_candle_open
BTCUSDT,1612368000000,1612656000000,1612656000000,1.2904055778842376,LONG,0.00155546,39249.54,-78.78066641174111,mark_candle_open
BTCUSDT,1612368000000,1612684800000,1612684800005,1.2904055778842376,LONG,0.00065121,39056.89,-32.8204817287673,mark_candle_open
BTCUSDT,1612368000000,1612713600000,1612713600001,1.2904055778842376,LONG,0.00106206,37965.8,-52.031678931150644,mark_candle_open
ETHUSDT,1613664000000,1613692800000,1613692800010,27.15974550253984,LONG,0.00082051,1940.0509857,-43.23373120594923,mark_candle_open
ETHUSDT,1613664000000,1613721600000,1613721600002,27.15974550253984,LONG,0.00139773,1922.01,-72.96332647810218,mark_candle_open
ETHUSDT,1613664000000,1613750400000,1613750400008,27.15974550253984,LONG,0.00169023,1933.39,-88.75462019107496,mark_candle_open
ETHUSDT,1613664000000,1613779200000,1613779200000,27.15974550253984,LONG,0.00196264,1958.58,-104.40172088954878,mark_candle_open
ETHUSDT,1613664000000,1613808000000,1613808000009,27.15974550253984,LONG,0.00189841,1988.2,-102.51225299593149,mark_candle_open
ETHUSDT,1613664000000,1613836800000,1613836800000,27.15974550253984,LONG,0.0018588,1979.75,-99.94675804770468,mark_candle_open
BTCUSDT,1615291200000,1615305600000,1615305600000,1.029287888722193,LONG,0.00057038,54127.88,-31.77767866104264,mark_candle_open
BTCUSDT,1615291200000,1615334400000,1615334400009,1.029287888722193,LONG,0.00024344,54925.01882859,-13.762553379283748,mark_candle_open
BTCUSDT,1615291200000,1615363200000,1615363200006,1.029287888722193,LONG,0.00048586,54196.11139209,-27.102923244704478,mark_candle_open
BTCUSDT,1615291200000,1615392000000,1615392000008,1.029287888722193,LONG,0.00056915,56376.23,-33.026278062827366,mark_candle_open
BTCUSDT,1615291200000,1615420800000,1615420800000,1.029287888722193,LONG,0.00095931,55956.41594658,-55.25171005066275,mark_candle_open
BTCUSDT,1615291200000,1615449600000,1615449600000,1.029287888722193,LONG,0.00099305,55080.92,-56.30009969487907,mark_candle_open
BTCUSDT,1615291200000,1615478400000,1615478400014,1.029287888722193,LONG,0.00085439,56415.23765561,-49.612309146125995,mark_candle_open
BTCUSDT,1615291200000,1615507200000,1615507200002,1.029287888722193,LONG,0.00102002,57860.0,-60.74688027824023,mark_candle_open
BTCUSDT,1615291200000,1615536000000,1615536000005,1.029287888722193,LONG,0.00067147,56740.41518494,-39.215340107683325,mark_candle_open
BTCUSDT,1615291200000,1615564800000,1615564800011,1.029287888722193,LONG,0.00051199,57011.21073842,-30.04405894254816,mark_candle_open
BTCUSDT,1615291200000,1615593600000,1615593600000,1.029287888722193,LONG,0.00047834,57305.36675083,-28.214272603472143,mark_candle_open
BTCUSDT,1615291200000,1615622400000,1615622400002,1.029287888722193,LONG,0.00060567,57377.26,-35.769488549268985,mark_candle_open
BTCUSDT,1615291200000,1615651200000,1615651200000,1.029287888722193,LONG,0.00057114,59734.70729864,-35.11609213281264,mark_candle_open
BTCUSDT,1615291200000,1615680000000,1615680000011,1.029287888722193,LONG,0.00081828,61247.19,-51.58518202159629,mark_candle_open
BTCUSDT,1615291200000,1615708800000,1615708800000,1.029287888722193,LONG,0.00084593,60594.25914236,-52.759754928286796,mark_candle_open
BTCUSDT,1615291200000,1615737600000,1615737600000,1.029287888722193,LONG,0.00115069,59750.76,-70.7682791576293,mark_candle_open
BTCUSDT,1615291200000,1615766400000,1615766400012,1.029287888722193,LONG,0.0008201,59047.95,-49.843496360855255,mark_candle_open
BTCUSDT,1615291200000,1615795200000,1615795200016,1.029287888722193,LONG,0.0010521,57826.33,-62.620930050513785,mark_candle_open
LTCUSDT,1616328000000,1616342400000,1616342400000,223.05130792705077,SHORT,0.00046956,195.61,20.487403512305704,mark_candle_open
BCHUSDT,1616328000000,1616342400000,1616342400000,76.95662835579914,SHORT,0.00028711,522.92,11.553926586257736,mark_candle_open
LTCUSDT,1616328000000,1616371200000,1616371200007,223.05130792705077,SHORT,0.00058748,195.52,25.620585419129956,mark_candle_open
BCHUSDT,1616328000000,1616371200000,1616371200007,76.95662835579914,SHORT,0.00057406,524.15,23.155753025050437,mark_candle_open
LTCUSDT,1616328000000,1616400000000,1616400000001,223.05130792705077,SHORT,0.00071256,195.13,31.01346266261431,mark_candle_open
BCHUSDT,1616328000000,1616400000000,1616400000001,76.95662835579914,SHORT,0.00067843,522.36320525,27.272418597800954,mark_candle_open
LTCUSDT,1616328000000,1616428800000,1616428800000,223.05130792705077,SHORT,0.00058339,196.67521053,25.592539275801247,mark_candle_open
LTCUSDT,1616328000000,1616457600000,1616457600000,111.52565396352539,SHORT,0.00024012,185.67,4.97215719731843,mark_candle_open
LTCUSDT,1616328000000,1616486400000,1616486400010,111.52565396352539,SHORT,0.00020663,185.65,4.2782199423404155,mark_candle_open
ETHUSDT,1616457600000,1616486400000,1616486400010,26.75836558749732,SHORT,0.00019899,1680.15,8.946205939745472,mark_candle_open
LINKUSDT,1616457600000,1616486400000,1616486400010,1302.2908800213556,SHORT,0.00031486,27.249,11.173161062369546,mark_candle_open
LTCUSDT,1616328000000,1616515200000,1616515200023,111.52565396352539,SHORT,0.00022303,186.43,4.637179021887721,mark_candle_open
