name,model,base_risk_pct,symbol,trades,long_trades,short_trades,net_pnl,sum_net_r
binance_cap4_risk200,binance_cap4,2.0,ADAUSDT,34,0,34,18191.233088077777,-2.46505187440009
binance_cap4_risk200,binance_cap4,2.0,AVAXUSDT,25,0,25,8512.9583434073,5.8098643404498755
binance_cap4_risk200,binance_cap4,2.0,BCHUSDT,36,0,36,-32954.7669734005,-1.5001420010010347
binance_cap4_risk200,binance_cap4,2.0,BNBUSDT,39,0,39,16730.416685135147,8.894456490898346
binance_cap4_risk200,binance_cap4,2.0,BTCUSDT,58,21,37,185960.91428425146,35.79708419067449
binance_cap4_risk200,binance_cap4,2.0,DOGEUSDT,40,0,40,100043.28678551587,17.39056199285791
binance_cap4_risk200,binance_cap4,2.0,ETHUSDT,48,18,30,6215.996126764894,12.278636642539798
binance_cap4_risk200,binance_cap4,2.0,LINKUSDT,28,0,28,-10844.818781513844,-1.8218027757882276
binance_cap4_risk200,binance_cap4,2.0,LTCUSDT,25,0,25,-9000.129562468679,-0.7099392175019694
binance_cap4_risk200,binance_cap4,2.0,SOLUSDT,45,15,30,112813.82190678566,13.812328719502753
binance_cap4_risk200,binance_cap4,2.0,XRPUSDT,49,0,49,46823.05682166454,10.359008843226938
binance_cap6_risk200,binance_cap6,2.0,ADAUSDT,42,0,42,42566.82444944441,4.791582511315826
binance_cap6_risk200,binance_cap6,2.0,AVAXUSDT,33,0,33,970.7302621494382,7.073846986506222
binance_cap6_risk200,binance_cap6,2.0,BCHUSDT,37,0,37,-37053.68127756639,-0.010709918842324306
binance_cap6_risk200,binance_cap6,2.0,BNBUSDT,44,0,44,16489.29232290423,8.707369438840761
binance_cap6_risk200,binance_cap6,2.0,BTCUSDT,60,21,39,234030.85487569013,40.83460489717651
binance_cap6_risk200,binance_cap6,2.0,DOGEUSDT,50,0,50,148668.42138714276,22.045144958030903
binance_cap6_risk200,binance_cap6,2.0,ETHUSDT,51,18,33,-20862.62604519794,9.278950094206563
binance_cap6_risk200,binance_cap6,2.0,LINKUSDT,40,0,40,-30027.50672755645,0.33989216352027096
binance_cap6_risk200,binance_cap6,2.0,LTCUSDT,32,0,32,-17623.0739934061,-1.0050200567137182
binance_cap6_risk200,binance_cap6,2.0,SOLUSDT,56,15,41,114845.12644824866,9.01843976905878
binance_cap6_risk200,binance_cap6,2.0,XRPUSDT,55,0,55,54398.150728710185,12.5089544337842
zero_fee_cap4_risk200,zero_fee_cap4,2.0,ADAUSDT,34,0,34,38918.05559827894,-0.7342818388928332
zero_fee_cap4_risk200,zero_fee_cap4,2.0,AVAXUSDT,25,0,25,8909.429295603732,7.027118461984196
zero_fee_cap4_risk200,zero_fee_cap4,2.0,BCHUSDT,36,0,36,-40406.01033467364,0.5833077812439289
zero_fee_cap4_risk200,zero_fee_cap4,2.0,BNBUSDT,39,0,39,30785.933308500622,11.693951756162413
zero_fee_cap4_risk200,zero_fee_cap4,2.0,BTCUSDT,58,21,37,275301.86780990905,39.634228211202235
zero_fee_cap4_risk200,zero_fee_cap4,2.0,DOGEUSDT,40,0,40,149624.46627470845,19.524554763996413
zero_fee_cap4_risk200,zero_fee_cap4,2.0,ETHUSDT,48,18,30,14202.22702541999,15.0652702630934
zero_fee_cap4_risk200,zero_fee_cap4,2.0,LINKUSDT,28,0,28,-7607.836689694115,-0.5733864354740426
zero_fee_cap4_risk200,zero_fee_cap4,2.0,LTCUSDT,25,0,25,-1935.456275380824,0.7772452548985791
zero_fee_cap4_risk200,zero_fee_cap4,2.0,SOLUSDT,45,15,30,164250.34333669313,15.640842412954509
zero_fee_cap4_risk200,zero_fee_cap4,2.0,XRPUSDT,49,0,49,80463.3221895711,13.21080149344107
zero_fee_cap6_risk200,zero_fee_cap6,2.0,ADAUSDT,42,0,42,74158.33840130219,6.874779925069019
zero_fee_cap6_risk200,zero_fee_cap6,2.0,AVAXUSDT,33,0,33,-4816.577021421952,8.68464470646023
zero_fee_cap6_risk200,zero_fee_cap6,2.0,BCHUSDT,37,0,37,-49670.95151333268,2.1110806876829957
zero_fee_cap6_risk200,zero_fee_cap6,2.0,BNBUSDT,44,0,44,33471.58995907315,11.843610281996241
zero_fee_cap6_risk200,zero_fee_cap6,2.0,BTCUSDT,60,21,39,357718.54065524327,44.8443683748632
zero_fee_cap6_risk200,zero_fee_cap6,2.0,DOGEUSDT,50,0,50,227912.78170271692,24.58002386393095
zero_fee_cap6_risk200,zero_fee_cap6,2.0,ETHUSDT,51,18,33,-20871.71862783974,12.245219509730449
zero_fee_cap6_risk200,zero_fee_cap6,2.0,LINKUSDT,40,0,40,-27826.398212079755,2.0269585381839867
zero_fee_cap6_risk200,zero_fee_cap6,2.0,LTCUSDT,32,0,32,-9913.297286936824,0.861937352979441
zero_fee_cap6_risk200,zero_fee_cap6,2.0,SOLUSDT,56,15,41,177521.0664671925,11.752264813604334
zero_fee_cap6_risk200,zero_fee_cap6,2.0,XRPUSDT,55,0,55,97889.67348923587,15.66804440395658
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,ADAUSDT,34,0,34,11014.963770754617,-3.19241969874263
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,AVAXUSDT,25,0,25,9133.194833658363,5.344642710114086
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,BCHUSDT,36,0,36,-28370.171532388304,-2.277185903699053
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,BNBUSDT,39,0,39,11672.589115603514,7.708463542224999
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,BTCUSDT,59,21,38,144404.7956942523,31.737683770293792
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,DOGEUSDT,40,0,40,81208.61821309404,16.465662584010797
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,ETHUSDT,48,18,30,4015.5323941058423,11.130319372635249
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,LINKUSDT,28,0,28,-12175.73893559603,-2.389385704858098
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,LTCUSDT,25,0,25,-11157.557230610008,-1.3054896918145487
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,SOLUSDT,45,15,30,91490.22001169769,12.976682757142969
binance_slip5_cap4_risk200,binance_slip5_cap4,2.0,XRPUSDT,48,0,48,36382.35936853695,10.233332662970916
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,ADAUSDT,42,0,42,31835.1651913329,3.919357815356789
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,AVAXUSDT,33,0,33,4274.800154782028,6.43271775193119
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,BCHUSDT,37,0,37,-30232.465384222654,-0.8048857355214727
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,BNBUSDT,44,0,44,10623.328884494673,7.390210137148582
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,BTCUSDT,61,21,40,179770.26565755167,36.68537376139514
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,DOGEUSDT,50,0,50,118260.06845108753,20.930286990256533
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,ETHUSDT,51,18,33,-18718.42139405051,8.06093428012548
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,LINKUSDT,40,0,40,-30107.84236633945,-0.3950357771460453
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,LTCUSDT,32,0,32,-19773.421872144594,-1.7530273467666215
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,SOLUSDT,56,15,41,88528.16567638327,8.050609149891168
binance_slip5_cap6_risk200,binance_slip5_cap6,2.0,XRPUSDT,55,0,55,40577.50264556525,11.15105568063128
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,ADAUSDT,34,0,34,27368.326666979665,-1.4618082071917173
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,AVAXUSDT,25,0,25,9747.59614172624,6.561764702861978
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,BCHUSDT,36,0,36,-35010.58822461472,-0.1939750135961098
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,BNBUSDT,39,0,39,23528.95744151849,10.507710091272239
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,BTCUSDT,59,21,38,216962.39025600406,35.66529237247236
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,DOGEUSDT,40,0,40,121808.93314877697,18.599474213039613
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,ETHUSDT,48,18,30,9960.278035367892,13.91675383729784
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,LINKUSDT,28,0,28,-9607.701110635904,-1.141060023590163
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,LTCUSDT,25,0,25,-5917.407526776673,0.18154629283738677
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,SOLUSDT,45,15,30,133645.42249068775,14.805098118529834
zero_fee_slip5_cap4_risk200,zero_fee_slip5_cap4,2.0,XRPUSDT,49,0,49,63013.47413282309,12.026310070801197
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,ADAUSDT,42,0,42,56433.81530322913,6.002362233460996
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,AVAXUSDT,33,0,33,-23.798492163521587,8.04335296499368
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,BCHUSDT,37,0,37,-41102.424547075,1.316662813253555
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,BNBUSDT,44,0,44,24379.812817739243,10.526166795395946
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,BTCUSDT,61,21,40,278453.0405988149,40.78559416298738
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,DOGEUSDT,50,0,50,181908.69786118125,23.464958704633567
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,ETHUSDT,51,18,33,-19988.90786946089,11.026985922152285
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,LINKUSDT,40,0,40,-29004.690702126383,1.2918894722923524
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,LTCUSDT,32,0,32,-14278.172008913623,0.1137438608245156
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,SOLUSDT,56,15,41,138380.50545095274,10.783167818054233
zero_fee_slip5_cap6_risk200,zero_fee_slip5_cap6,2.0,XRPUSDT,55,0,55,75179.55789937588,14.30987448827057
